Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
DBT,low,DS,603,1.0593,DBT 92,,0.154,0.104,0.138,0.566,0.586,0.9,0.937,,0.425,36.958,0.035,0.404,0.045,0.236,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,5.305
IHNB,low,DS,427,1,IH NB 86,0.06,,0.304,,0.414,0.273,0.238,,,0.048,10.47,0.035,0.464,0.21,0.17,0.066,,,0.464,0.322,0.835,0.445,2.847,20.208,8.666,30.021,0.837,0.36,0.303
IHNB,low,DS,507,2,IH NB 93,0.06,,0.304,,0.587,0.273,0.238,,,0.141,16.208,0.141,0.464,0.21,0.211,0.066,,,0.464,0.322,0.835,0.445,0.995,3.849,5.475,3.07,0.837,1.678,1.46
IHNB,low,DS,513,3,IH NB 100,0.325,,0.304,,0.434,0.273,0.238,,,2.776,9.693,0.13,0.464,0.21,0.325,0.066,,,0.464,0.322,0.835,0.445,4.162,17.145,5.475,53.253,0.837,0.36,0.303
IHNB,low,DS,521,4,IH NB 107,0.06,,0.304,,0.596,0.273,0.238,,,0.143,16.497,0.095,0.464,0.21,0.262,0.066,,,0.464,0.322,0.835,0.445,1.235,3.849,12.822,25.891,0.837,1.783,0.87
IHL,low,DS,427,1.3447,IH L 58,4.759,,,,0.074,,,,,9.779,5.243,1.115,4.388,,0.297,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.11,0.031
IHL,low,DS,507,1.9605,IH L 65,0.791,,,,0.077,,,,,4.948,7.855,1.071,1.581,,0.587,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.11,0.251
IHL,low,DS,513,0.98,IH L 72,1.888,,,,0.306,,,,,2.857,11.786,0.663,0.518,,0.255,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.861,0.197
IHL,low,DS,521,1.5941,IH L 79,1.945,,,,0.125,,,,,11.072,15.401,1.066,1.035,,1.631,,,,,0.519,,0.9,0.276,0.123,0.058,1.024,0.137,0.11,0.274
IHBB,low,DS,427,3,IH BB 2,0.067,,0.089,0.04,0.123,,,1.546,1.103,0.053,1.978,0.053,,0.18,0.035,,,,,,2.345,,33.913,0.355,0.628,0.998,2.125,0.304,0.041
